ID,Name,SymbolId,StyleFile,Category,GeometryType,GeometryConversionType,Tags
GFOPFA----,Acoustic F,GFOPFA----****X,C2 Military Operations.style,Other,P,GCT_Point,Appendix B; Other; Friendly; Fix; Acoustic; GFopfa----****x
GHOPFA----,Acoustic H,GHOPFA----****X,C2 Military Operations.style,Other,P,GCT_Point,Appendix B; Other; Hostile; Fix; Acoustic; GHopfa----****x
GNOPFA----,Acoustic N,GNOPFA----****X,C2 Military Operations.style,Other,P,GCT_Point,Appendix B; Other; Neutral; Fix; Acoustic; GNopfa----****x
GUOPFA----,Acoustic U,GUOPFA----****X,C2 Military Operations.style,Other,P,GCT_Point,Appendix B; Other; Unknown; Fix; Acoustic; GUopfa----****x
GFGPGPP---,Action Points (general) F,GFGPGPP-------X,C2 Military Operations.style,Action Points,P,GCT_Point,Appendix B; Command and Control and General Maneuver; General; Friendly; Action Points; GFGPGPP-------X
GHGPGPP---,Action Points (general) H,GHGPGPP-------X,C2 Military Operations.style,Action Points,P,GCT_Point,Appendix B; Command and Control and General Maneuver; General; Hostile; Action Points; GHGPGPP-------X
GNGPGPP---,Action Points (general) N,GNGPGPP-------X,C2 Military Operations.style,Action Points,P,GCT_Point,Appendix B; Command and Control and General Maneuver; General; Neutral; Action Points; GNGPGPP-------X
GUGPGPP---,Action Points (general) U,GUGPGPP-------X,C2 Military Operations.style,Action Points,P,GCT_Point,Appendix B; Command and Control and General Maneuver; General; Unknown; Action Points; GUGPGPP-------X
GFGPGPWA--,Aim Point F,GFGPGPWA------X,C2 Military Operations.style,Weapon,P,GCT_Point,Appendix B; Command And Control And General Maneuver;  Friendly; General; Aim Point; GFgpgpwa------x
GHGPGPWA--,Aim Point H,GHGPGPWA------X,C2 Military Operations.style,Weapon,P,GCT_Point,Appendix B; Command And Control And General Maneuver;  Hostile; General; Aim Point; GHgpgpwa------x
GNGPGPWA--,Aim Point N,GNGPGPWA------X,C2 Military Operations.style,Weapon,P,GCT_Point,Appendix B; Command And Control And General Maneuver;  Neutral; General; Aim Point; GNgpgpwa------x
GUGPGPWA--,Aim Point U,GUGPGPWA------X,C2 Military Operations.style,Weapon,P,GCT_Point,Appendix B; Command And Control And General Maneuver;  Unknown; General; Aim Point; GUgpgpwa------x
GFGPGPA---,Air Control F,GFGPGPA-------X,C2 Military Operations.style,Aviation,P,GCT_Point,Appendix B; Command And Control And General Maneuver;  General; Friendly; Air Control; GFgpgpa-------x
GHGPGPA---,Air Control H,GHGPGPA-------X,C2 Military Operations.style,Aviation,P,GCT_Point,Appendix B; Command And Control And General Maneuver;  General; Hostile; Air Control; GHgpgpa-------x
GNGPGPA---,Air Control N,GNGPGPA-------X,C2 Military Operations.style,Aviation,P,GCT_Point,Appendix B; Command And Control And General Maneuver;  General; Neutral; Air Control; GNgpgpa-------x
GFGPAPP---,Air Control Point (ACP) F,GFGPAPP---****X,C2 Military Operations.style,Aviation,P,GCT_Point,Appendix B; Command And Control And General Maneuver;  Aviation; Friendly; Air Control Point ;  Acp; GFGPAPP---****X
GHGPAPP---,Air Control Point (ACP) H,GHGPAPP---****X,C2 Military Operations.style,Aviation,P,GCT_Point,Appendix B; Command And Control And General Maneuver;  Aviation; Hostile; Air Control Point ;  Acp; GHGPAPP---****X
GNGPAPP---,Air Control Point (ACP) N,GNGPAPP---****X,C2 Military Operations.style,Aviation,P,GCT_Point,Appendix B; Command And Control And General Maneuver;  Aviation; Neutral; Air Control Point; green; Acp; GNGPAPP---****X
GUGPAPP---,Air Control Point (ACP) U,GUGPAPP---****X,C2 Military Operations.style,Aviation,P,GCT_Point,Appendix B; Command And Control And General Maneuver;  Aviation; Unknown; yellow; Air Control Point ;  Acp; GUGPAPP---****X
GUGPGPA---,Air Control U,GUGPGPA-------X,C2 Military Operations.style,Aviation,P,GCT_Point,Appendix B; Command And Control And General Maneuver;  General; Unknown; Air Control; GUgpgpa-------x
GFGPGPAW--,Airborne Early Warning (AEW) F,GFGPGPAW------X,C2 Military Operations.style,Aviation,P,GCT_Point,Appendix B; Command And Control And General Maneuver;  General; Friendly; Airborne Early Warning ;  Aew; GFgpgpaw------x
GHGPGPAW--,Airborne Early Warning (AEW) H,GHGPGPAW------X,C2 Military Operations.style,Aviation,P,GCT_Point,Appendix B; Command And Control And General Maneuver;  General; Hostile; Airborne Early Warning ;  Aew; GHgpgpaw------x
GNGPGPAW--,Airborne Early Warning (AEW) N,GNGPGPAW------X,C2 Military Operations.style,Aviation,P,GCT_Point,Appendix B; Command And Control And General Maneuver;  General; Neutral; Airborne Early Warning ;  Aew; GNgpgpaw------x
GUGPGPAW--,Airborne Early Warning (AEW) U,GUGPGPAW------X,C2 Military Operations.style,Aviation,P,GCT_Point,Appendix B; Command And Control And General Maneuver;  General; Unknown; Airborne Early Warning ;  Aew; GUgpgpaw------x
GFMPNDA---,Alternate DECON Site Point (unspecified) F,GFMPNDA-------X,C2 Military Operations.style,NBC,P,GCT_Point,Appendix B; Mobility Survivability; Chemical; Biological; Radiological; Nuclear; Friendly; Alternate DECON Site Point ; Unspecified; GFMPNDA-------X
GHMPNDA---,Alternate DECON Site Point (unspecified) H,GHMPNDA-------X,C2 Military Operations.style,NBC,P,GCT_Point,Appendix B; Mobility Survivability; Chemical; Biological; Radiological; Nuclear; Hostile; Alternate DECON Site Point ; Unspecified; GHMPNDA-------X
GNMPNDA---,Alternate DECON Site Point (unspecified) N,GNMPNDA-------X,C2 Military Operations.style,NBC,P,GCT_Point,Appendix B; Mobility Survivability; Chemical; Biological; Radiological; Nuclear; Neutral; Alternate DECON Site Point ; Unspecified; GNMPNDA-------X
GUMPNDA---,Alternate DECON Site Point (unspecified) U,GUMPNDA-------X,C2 Military Operations.style,NBC,P,GCT_Point,Appendix B; Mobility Survivability; Chemical; Biological; Radiological; Nuclear; Unknown; Alternate DECON Site Point ; Unspecified; GUMPNDA-------X
GFSPPX----,Ambulance Exchange Point F,GFSPPX--------X,C2 Military Operations.style,Combat Service Support,P,GCT_Point,Appendix B; Combat Service Support; Friendly; Ambulance Exchange Point; AXP; GFSPPX--------X
GHSPPX----,Ambulance Exchange Point H,GHSPPX--------X,C2 Military Operations.style,Combat Service Support,P,GCT_Point,Appendix B; Combat Service Support; Hostile; Ambulance Exchange Point; AXP; GHSPPX--------X
GNSPPX----,Ambulance Exchange Point N,GNSPPX--------X,C2 Military Operations.style,Combat Service Support,P,GCT_Point,Appendix B; Combat Service Support; Neutral; Ambulance Exchange Point; AXP; GNSPPX--------X
GUSPPX----,Ambulance Exchange Point U,GUSPPX--------X,C2 Military Operations.style,Combat Service Support,P,GCT_Point,Appendix B; Combat Service Support; Unknown; Ambulance Exchange Point; AXP; GUSPPX--------X
